western dragon, draconic wings, scales, dragon tail
eastern dragon, horn, long body, dragon tail
wyvern, arm wings, dragon tail
drake, wingless dragon, scales, dragon tail
crystal dragon, crystalline skin, crystal growths, dragon tail
storm dragon, lightning aura, blue scales, dragon tail
magma dragon, glowing veins, cracked skin, dragon tail
void dragon, dark aura, purple scales, dragon tail
sea dragon, finned ears, aquatic tail, scales
ancient dragon, tattered wings, massive horns, scales
skeletal dragon, bone wings, exposed ribs, skeletal tail
