1980s anime, cel animation, hand-painted cels, bold linework, vintage color palette
1990s anime, cel shading, clean expressive linework, saturated colors, nostalgic animation look
early 2000s anime, crisp lineart, digital coloring, bright highlights, polished character illustration
modern anime, clean lineart, polished digital rendering, vibrant colors, detailed eyes
modern light novel illustration, crisp lines, clean digital art, polished character rendering
anime key visual, dramatic composition, polished digital illustration, strong focal character
manga illustration, intricate linework, screentone accents, expressive composition
shoujo manga aesthetic, delicate linework, decorative details, elegant composition
seinen manga aesthetic, detailed linework, restrained shading, mature visual tone
josei manga aesthetic, elegant linework, refined character rendering, sophisticated composition
magical girl anime, sparkling effects, ornate costume details, bright colorful rendering
fantasy anime, detailed costumes, atmospheric backgrounds, polished character art
gothic anime, elegant dark clothing, dramatic lighting, intricate decorative details
moe anime aesthetic, soft features, clean lineart, gentle colors, expressive character design
bishoujo illustration, polished anime rendering, detailed eyes, refined character design
anime screencap aesthetic, cel shading, simplified background, expressive pose
anime opening sequence aesthetic, dynamic composition, dramatic perspective, vibrant colors
anime ending sequence aesthetic, atmospheric composition, soft lighting, painterly background
retro OVA aesthetic, detailed cel shading, rich colors, dramatic lighting
90s fantasy OVA aesthetic, hand-painted cel look, intricate costumes, atmospheric backgrounds
visual novel character art, clean lineart, polished shading, centered character composition
anime poster art, bold composition, polished rendering, dramatic graphic design
lighthearted slice-of-life anime, soft colors, clean lineart, bright natural lighting
dark fantasy anime, heavy shadows, detailed linework, atmospheric rendering
